# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
   1)   1.099 us    |                      }
   1)   0.087 us    |                      hrtick_update();
   1)   1.532 us    |                    }
   1)   1.744 us    |                  }
   1)               |                  ttwu_do_wakeup() {
   1)               |                    check_preempt_curr() {
   1)               |                      resched_curr() {
   1)               |                        native_smp_send_reschedule() {
   1)               |                          x2apic_send_IPI() {
   1)   7.435 us    |                            __x2apic_send_IPI_dest();
   1)   7.846 us    |                          }
   1)   8.026 us    |                        }
   1)   8.225 us    |                      }
   1)   8.408 us    |                    }
   1)   8.738 us    |                  }
   1) + 10.875 us   |                }
   1) + 11.830 us   |              }
   1)   0.111 us    |              _raw_spin_unlock_irqrestore();
   1)   0.090 us    |              ttwu_stat();
   1) + 13.489 us   |            }
   1) + 13.670 us   |          }
   1)               |          wait_for_completion_killable() {
   1)               |            wait_for_common() {
   1)   0.086 us    |              _raw_spin_lock_irq();
   1)   0.092 us    |              __prepare_to_swait();
   1)               |              schedule_timeout() {
   1)               |                schedule() {
   1)               |                  rcu_note_context_switch() {
   1)   0.086 us    |                    rcu_qs();
   1)   0.255 us    |                  }
   1)   0.100 us    |                  _raw_spin_lock();
   1)               |                  update_rq_clock() {
   1)               |                    update_rq_clock_task() {
   1)   0.092 us    |                      update_irq_load_avg();
   1)   0.321 us    |                    }
   1)   0.495 us    |                  }
   1)               |                  deactivate_task() {
   1)               |                    dequeue_task_fair() {
   1)               |                      dequeue_entity() {
   1)               |                        update_curr() {
   1)   0.085 us    |                          update_min_vruntime();
   1)               |                          cpuacct_charge() {
   1)   0.176 us    |                            rcu_read_unlock_strict();
   1)   0.336 us    |                          }
   1)   0.104 us    |                          rcu_read_unlock_strict();
   1)   0.923 us    |                        }
   1)   0.089 us    |                        __update_load_avg_se();
   1)   0.088 us    |                        __update_load_avg_cfs_rq();
   1)   0.092 us    |                        clear_buddies();
