# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
   0)               |                  native_send_call_func_single_ipi() {
   0)   0.087 us    |                        clear_buddies();
   0)   0.099 us    |                        update_cfs_group();
   0)   0.086 us    |                        update_min_vruntime();
   0)   2.078 us    |                      }
   0)   0.088 us    |                      hrtick_update();
   0)   2.445 us    |                    }
   0)   2.639 us    |                  }
   0)               |                  pick_next_task_fair() {
   0)               |                    newidle_balance() {
   0)   0.095 us    |                      __msecs_to_jiffies();
   0)   0.084 us    |                      rcu_read_unlock_strict();
   0)   0.086 us    |                      nohz_newidle_balance();
   0)   0.615 us    |                    }
   0)   0.467 us    |                    try_steal();
   0)   0.088 us    |                    __unthrottle_qos_cfs_rqs();
   0)   1.548 us    |                  }
   0)               |                  put_prev_task_fair() {
   0)               |                    put_prev_entity() {
   0)   0.102 us    |                      check_cfs_rq_runtime();
   0)   0.092 us    |                      check_spread.isra.0();
   0)   0.454 us    |                    }
   0)   0.623 us    |                  }
   0)   0.082 us    |                  pick_next_task_idle();
   0)   0.178 us    |                  __traceiter_sched_switch();
   0)   0.089 us    |                  enter_lazy_tlb();
   0)   0.338 us    |                  finish_task_switch();
   0) + 70.286 us   |                }
   0) + 70.550 us   |              }
   0)   0.112 us    |              _raw_spin_lock_irq();
   0)   0.089 us    |              __finish_swait();
   0) + 71.550 us   |            }
   0) + 71.736 us   |          }
   0)               |          __set_task_comm() {
   0)   0.139 us    |            _raw_spin_lock();
   0)   0.417 us    |          }
   0)               |          sched_setscheduler_nocheck() {
   0)               |            __sched_setscheduler() {
   0)   0.132 us    |              cpuset_read_lock();
   0)               |              task_rq_lock() {
   0)   0.090 us    |                _raw_spin_lock_irqsave();
   0)   0.117 us    |                _raw_spin_lock();
   0)   0.493 us    |              }
   0)               |              update_rq_clock() {
   0)   0.140 us    |                update_rq_clock_task();
   0)   0.329 us    |              }
   0)   0.091 us    |              _raw_spin_unlock_irqrestore();
   0)   0.085 us    |              cpuset_read_unlock();
   0)   1.757 us    |            }
   0)   1.954 us    |          }
   0)   0.084 us    |          housekeeping_cpumask();
   0)               |          set_cpus_allowed_ptr() {
   0)               |            __set_cpus_allowed_ptr() {
   0)               |              task_rq_lock() {
   0)   0.083 us    |                _raw_spin_lock_irqsave();
   0)   0.088 us    |                _raw_spin_lock();
   0)   0.454 us    |              }
   0)               |              update_rq_clock() {
   0)   0.087 us    |                update_rq_clock_task();
   0)   0.261 us    |              }
   0)   0.092 us    |              _raw_spin_unlock_irqrestore();
   0)   1.192 us    |            }
   0)   1.350 us    |          }
   0)   0.220 us    |          kfree();
   0) + 91.849 us   |        }
   0) + 92.042 us   |      }
   0)               |      wake_up_process() {
   0)               |        try_to_wake_up() {
   0)   0.087 us    |          _raw_spin_lock_irqsave();
   0)               |          select_task_rq_fair() {
   0)               |            select_idle_sibling() {
   0)   0.105 us    |              available_idle_cpu();
   0)   0.287 us    |            }
   0)   0.085 us    |            rcu_read_unlock_strict();
   0)   0.685 us    |          }
   0)               |          ttwu_queue() {
   0)               |            ttwu_queue_wakelist.part.0() {
   0)               |              __smp_call_single_queue() {
   0)               |                send_call_function_single_ipi() {
   0)               |                  native_send_call_func_single_ipi() {
   0)               |                    x2apic_send_IPI() {
   0)   7.943 us    |                      __x2apic_send_IPI_dest();
   0)   8.392 us    |                    }
   0)   8.579 us    |                  }
   0)   8.773 us    |                }
   0)   8.974 us    |              }
   0)   9.200 us    |            }
   0)   9.383 us    |          }
   0)   0.150 us    |          _raw_spin_unlock_irqrestore();
   0)   0.097 us    |          ttwu_stat();
   0) + 10.962 us   |        }
   0) + 11.122 us   |      }
   0)               |      __cond_resched() {
   0)   0.124 us    |        rcu_all_qs();
   0)   0.330 us    |      }
   0)               |      down() {
   0)   0.135 us    |        _raw_spin_lock_irqsave();
   0)   0.100 us    |        _raw_spin_unlock_irqrestore();
   0)   0.995 us    |      }
   0)               |      kthread_create_on_node() {
   0)               |        __kthread_create_on_node() {
   0)               |          kmem_cache_alloc_trace() {
   0)   0.100 us    |            should_failslab();
   0)   0.338 us    |          }
   0)   0.136 us    |          _raw_spin_lock();
   0)               |          wake_up_process() {
   0)               |            try_to_wake_up() {
   0)   0.118 us    |              _raw_spin_lock_irqsave();
   0)               |              select_task_rq_fair() {
   0)               |                select_idle_sibling() {
   0)   0.131 us    |                  available_idle_cpu();
   0)   0.313 us    |                }
   0)   0.086 us    |                rcu_read_unlock_strict();
   0)   0.662 us    |              }
   0)               |              ttwu_queue() {
   0)   0.100 us    |                ttwu_queue_wakelist.part.0();
   0)   0.082 us    |                _raw_spin_lock();
   0)               |                update_rq_clock() {
   0)   0.133 us    |                  update_rq_clock_task();
   0)   0.314 us    |                }
   0)               |                ttwu_do_activate() {
   0)               |                  activate_task() {
   0)               |                    enqueue_task_fair() {
   0)               |                      enqueue_entity() {
   0)   0.086 us    |                        update_curr();
   0)   0.086 us    |                        __update_load_avg_se();
